"lemmatized_summary","Gene","Regulation","geneCardsFunction"
"HLA - DPB1 ( Major Histocompatibility Complex, Class II, DP Beta 1 ) be a Protein code gene. disease associate with HLA - DPB1 include Chronic Beryllium Disease and Granulomatosis With Polyangiitis. Among its relate pathway be TCR signal ( REACTOME ) and Phagosome. Gene Ontology ( GO ) annotation relate to this gene include peptide antigen bind. a important paralog of this gene be HLA - DQB1. bind peptide derive from antigen that access the endocytic route of antigen present cell ( APC ) and present them on the cell surface for recognition by the CD4 T - cell. The peptide bind cleave accommodate peptide of 10 - 30 residue. The peptide present by MHC class II molecule be generate mostly by degradation of protein that access the endocytic route, where they be process by lysosomal protease and other hydrolase. Exogenous antigen that have be endocytosed by the APC be thus readily available for presentation via MHC II molecule, and for this reason this antigen presentation pathway be usually refer to as exogenous. As membrane protein on their way to degradation in lysosome as part of their normal turn - over be also contain in the endosomal / lysosomal compartment, exogenous antigen must compete with that derive from endogenous component. Autophagy be also a source of endogenous peptide, autophagosomes constitutively fuse with MHC class II load compartment. In addition to APCs, other cell of the gastrointestinal tract, such as epithelial cell, express MHC class II molecule and CD74 and act as APCs, which be a unusual trait of the GI tract. To produce a MHC class II molecule that present a antigen, three MHC class II molecule ( heterodimer of a alpha and a beta chain ) associate with a CD74 trimer in the ER to form a heterononamer. Soon after the entry of this complex into the endosomal / lysosomal system where antigen process occur, CD74 undergo a sequential degradation by various protease, include CTSS and CTSL, leave a small fragment term CLIP ( class - II - associate invariant chain peptide ). The removal of CLIP be facilitate by HLA - DM via direct bind to the alpha - beta - CLIP complex so that CLIP be release. HLA - DM stabilize MHC class II molecule until primary high affinity antigenic peptide be bind. The MHC II molecule bind to a peptide be then transport to the cell membrane surface. In B - cell, the interaction between HLA - DM and MHC class II molecule be regulate by HLA - DO. Primary dendritic cell ( DCs ) also to express HLA - DO. Lysosomal microenvironment have be implicate in the regulation of antigen load into MHC II molecule, increase acidification produce increase proteolysis and efficient peptide load.","HLA-DPB1","increased","HLA-DPB1 (Major Histocompatibility Complex, Class II, DP Beta 1) is a Protein Coding gene. Diseases associated with HLA-DPB1 include Chronic Beryllium Disease and Granulomatosis With Polyangiitis. Among its related pathways are TCR signaling (REACTOME) and Phagosome. Gene Ontology (GO) annotations related to this gene include peptide antigen binding. An important paralog of this gene is HLA-DQB1. Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for presentation via MHC II molecules, and for this reason this antigen presentation pathway is usually referred to as exogenous. As membrane proteins on their way to degradation in lysosomes as part of their normal turn-over are also contained in the endosomal/lysosomal compartments, exogenous antigens must compete with those derived from endogenous components. Autophagy is also a source of endogenous peptides, autophagosomes constitutively fuse with MHC class II loading compartments. In addition to APCs, other cells of the gastrointestinal tract, such as epithelial cells, express MHC class II molecules and CD74 and act as APCs, which is an unusual trait of the GI tract. To produce a MHC class II molecule that presents an antigen, three MHC class II molecules (heterodimers of an alpha and a beta chain) associate with a CD74 trimer in the ER to form a heterononamer. Soon after the entry of this complex into the endosomal/lysosomal system where antigen processing occurs, CD74 undergoes a sequential degradation by various proteases, including CTSS and CTSL, leaving a small fragment termed CLIP (class-II-associated invariant chain peptide). The removal of CLIP is facilitated by HLA-DM via direct binding to the alpha-beta-CLIP complex so that CLIP is released. HLA-DM stabilizes MHC class II molecules until primary high affinity antigenic peptides are bound. The MHC II molecule bound to a peptide is then transported to the cell membrane surface. In B-cells, the interaction between HLA-DM and MHC class II molecules is regulated by HLA-DO. Primary dendritic cells (DCs) also to express HLA-DO. Lysosomal microenvironment has been implicated in the regulation of antigen loading into MHC II molecules, increased acidification produces increased proteolysis and efficient peptide loading. "
"IGLL5 ( Immunoglobulin Lambda Like Polypeptide 5 ) be a Protein code gene. disease associate with IGLL5 include Amebiasis and Solitary Osseous Plasmacytoma. Gene Ontology ( GO ) annotation relate to this gene include antigen bind. a important paralog of this gene be IGLL1.","IGLL5","increased","IGLL5 (Immunoglobulin Lambda Like Polypeptide 5) is a Protein Coding gene. Diseases associated with IGLL5 include Amebiasis and Solitary Osseous Plasmacytoma. Gene Ontology (GO) annotations related to this gene include antigen binding. An important paralog of this gene is IGLL1."
"KCNQ2 ( Potassium Voltage - gate Channel Subfamily Q Member 2 ) be a Protein code gene. disease associate with KCNQ2 include Epileptic Encephalopathy, Early Infantile, 7 and seizure, Benign Familial Neonatal, 1. Among its relate pathway be Developmental Biology and L1CAM interaction. Gene Ontology ( GO ) annotation relate to this gene include ion channel activity and potassium channel activity. a important paralog of this gene be KCNQ5. associate with KCNQ3 to form a potassium channel with essentially identical property to the channel underlie the native be - current, a slowly activate and deactivate potassium conductance which play a critical role in determine the subthreshold electrical excitability of neuron as good as the responsiveness to synaptic input. Therefore, it be important in the regulation of neuronal excitability. KCNQ2 / KCNQ3 current be block by linopirdine and XE991, and activate by the anticonvulsant retigabine ( PubMed: 9836639, PubMed: 11572947, PubMed: 14534157, PubMed: 12742592, PubMed: 17872363 ). As the native be - channel, the potassium channel compose of KCNQ2 and KCNQ3 be also suppress by activation of the muscarinic acetylcholine receptor CHRM1 ( PubMed: 10684873 ).","KCNQ2","increased","KCNQ2 (Potassium Voltage-Gated Channel Subfamily Q Member 2) is a Protein Coding gene. Diseases associated with KCNQ2 include Epileptic Encephalopathy, Early Infantile, 7 and Seizures, Benign Familial Neonatal, 1. Among its related pathways are Developmental Biology and L1CAM interactions. Gene Ontology (GO) annotations related to this gene include ion channel activity and potassium channel activity. An important paralog of this gene is KCNQ5. Associates with KCNQ3 to form a potassium channel with essentially identical properties to the channel underlying the native M-current, a slowly activating and deactivating potassium conductance which plays a critical role in determining the subthreshold electrical excitability of neurons as well as the responsiveness to synaptic inputs. Therefore, it is important in the regulation of neuronal excitability. KCNQ2/KCNQ3 current is blocked by linopirdine and XE991, and activated by the anticonvulsant retigabine (PubMed:9836639, PubMed:11572947, PubMed:14534157, PubMed:12742592, PubMed:17872363). As the native M-channel, the potassium channel composed of KCNQ2 and KCNQ3 is also suppressed by activation of the muscarinic acetylcholine receptor CHRM1 (PubMed:10684873)."
"LINC01924 ( Long Intergenic Non - Protein code RNA 1924 ) be a RNA Gene, and be affiliate with the lncRNA class.","LINC01924","increased","LINC01924 (Long Intergenic Non-Protein Coding RNA 1924) is an RNA Gene, and is affiliated with the lncRNA class. "
"LINC02133 ( Long Intergenic Non - Protein code RNA 2133 ) be a RNA Gene, and be affiliate with the lncRNA class.","LINC02133","increased","LINC02133 (Long Intergenic Non-Protein Coding RNA 2133) is an RNA Gene, and is affiliated with the lncRNA class. "
"LOC101926964 ( Uncharacterized LOC101926964 ) be a RNA Gene, and be affiliate with the lncRNA class.","LOC101926964","increased","LOC101926964 (Uncharacterized LOC101926964) is an RNA Gene, and is affiliated with the lncRNA class. "
"LTF ( Lactotransferrin ) be a Protein code gene. disease associate with LTF include Mastitis and Keratoconjunctivitis Sicca. Among its relate pathway be Innate Immune System and Defensins. Gene Ontology ( GO ) annotation relate to this gene include serine - type endopeptidase activity and heparin bind. a important paralog of this gene be TF. transferrin be iron bind transport protein which can bind two Fe ( 3+ ) ion in association with the bind of a anion, usually bicarbonate. TRFL _ HUMAN, P02788 Lactotransferrin be a major iron - bind and multifunctional protein find in exocrine fluid such as breast milk and mucosal secretion. have antimicrobial activity, which depend on the extracellular cation concentration. Antimicrobial property include bacteriostasis, which be relate to its ability to sequester free iron and thus inhibit microbial growth, as good as direct bactericidal property lead to the release of lipopolysaccharide from the bacterial outer membrane. Can also prevent bacterial biofilm development in P. aeruginosa infection. have weak antifungal activity against C. albicans. have anabolic, differentiate and anti - apoptotic effect on osteoblast and can also inhibit osteoclastogenesis, possibly play a role in the regulation of bone growth. promote bind of species C adenovirus to epithelial cell, promote adenovirus infection. Can inhibit papillomavirus infection. stimulate the TLR4 signal pathway lead to NF - kappa - B activation and subsequent pro - inflammatory cytokine production while also interfere with the lipopolysaccharide ( lp ) - stimulate TLR4 signal. inhibit neutrophil granulocyte migration to site of apoptosis, when secrete by apoptotic cell. stimulate VEGFA - mediate endothelial cell migration and proliferation. bind heparin, chondroitin sulfate and possibly other glycosaminoglycan ( gag ). Also bind specifically to pneumococcal surface protein A ( pspA ), the lipid A portion of bacterial lipopolysaccharide ( lp ), lysozyme and DNA. TRFL _ HUMAN, P02788 Lactoferricin bind to the bacterial surface and be crucial for the bactericidal function. have some antiviral activity against papillomavirus infection. N - terminal region show strong antifungal activity against C. albicans. contain two BBXB heparin - bind consensus sequence that appear to form the predominate functional GAG - bind site. TRFL _ HUMAN, P02788 Kaliocin - 1 have antimicrobial activity and be able to permeabilize different ion through liposomal membrane. TRFL _ HUMAN, P02788 Lactoferroxins A, B and C have opioid antagonist activity. Lactoferroxin A show preference for mu - receptor, while lactoferroxin B and C have somewhat high degree of preference for kappa - receptor than for mu - receptor. TRFL _ HUMAN, P02788 The lactotransferrin transferrin - like domain 1 function as a serine protease of the peptidase S60 family that cut arginine rich region. This function contribute to the antimicrobial activity. show a preferential cleavage at - Arg - Ser - Arg - Arg - - and - Arg - Arg - Ser - Arg - -, and of Z - Phe - Arg - - aminomethylcoumarin site. TRFL _ HUMAN, P02788 Isoform DeltaLf: transcription factor with antiproliferative property and ability to induce cell cycle arrest. bind to the DeltaLf response element find in the SKP1, BAX, DCPS, and SELENOH promoter. TRFL _ HUMAN, P02788","LTF","increased","LTF (Lactotransferrin) is a Protein Coding gene. Diseases associated with LTF include Mastitis and Keratoconjunctivitis Sicca. Among its related pathways are Innate Immune System and Defensins. Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity and heparin binding. An important paralog of this gene is TF. 
    Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate.
        TRFL_HUMAN,P02788 
    Lactotransferrin is a major iron-binding and multifunctional protein found in exocrine fluids such as breast milk and mucosal secretions. Has antimicrobial activity, which depends on the extracellular cation concentration. Antimicrobial properties include bacteriostasis, which is related to its ability to sequester free iron and thus inhibit microbial growth, as well as direct bactericidal properties leading to the release of lipopolysaccharides from the bacterial outer membrane. Can also prevent bacterial biofilm development in P.aeruginosa infection. Has weak antifungal activity against C.albicans. Has anabolic, differentiating and anti-apoptotic effects on osteoblasts and can also inhibit osteoclastogenesis, possibly playing a role in the regulation of bone growth. Promotes binding of species C adenoviruses to epithelial cells, promoting adenovirus infection. Can inhibit papillomavirus infections. Stimulates the TLR4 signaling pathway leading to NF-kappa-B activation and subsequent pro-inflammatory cytokine production while also interfering with the lipopolysaccharide (LPS)-stimulated TLR4 signaling. Inhibits neutrophil granulocyte migration to sites of apoptosis, when secreted by apoptotic cells. Stimulates VEGFA-mediated endothelial cell migration and proliferation. Binds heparin, chondroitin sulfate and possibly other glycosaminoglycans (GAGs). Also binds specifically to pneumococcal surface protein A (pspA), the lipid A portion of bacterial lipopolysaccharide (LPS), lysozyme and DNA.
        TRFL_HUMAN,P02788 
    Lactoferricin binds to the bacterial surface and is crucial for the bactericidal functions. Has some antiviral activity against papillomavirus infection. N-terminal region shows strong antifungal activity against C.albicans. Contains two BBXB heparin-binding consensus sequences that appear to form the predominate functional GAG-binding site.
        TRFL_HUMAN,P02788 
    Kaliocin-1 has antimicrobial activity and is able to permeabilize different ions through liposomal membranes.
        TRFL_HUMAN,P02788 
    Lactoferroxins A, B and C have opioid antagonist activity. Lactoferroxin A shows preference for mu-receptors, while lactoferroxin B and C have somewhat higher degrees of preference for kappa-receptors than for mu-receptors.
        TRFL_HUMAN,P02788 
    The lactotransferrin transferrin-like domain 1 functions as a serine protease of the peptidase S60 family that cuts arginine rich regions. This function contributes to the antimicrobial activity. Shows a preferential cleavage at -Arg-Ser-Arg-Arg- - and -Arg-Arg-Ser-Arg- -, and of Z-Phe-Arg- -aminomethylcoumarin sites.
        TRFL_HUMAN,P02788 
    Isoform DeltaLf: transcription factor with antiproliferative properties and ability to induce cell cycle arrest. Binds to the DeltaLf response element found in the SKP1, BAX, DCPS, and SELENOH promoters.
        TRFL_HUMAN,P02788 "
"MB ( Myoglobin ) be a Protein code gene. disease associate with MB include Compartment Syndrome and Medullomyoblastoma. Among its relate pathway be Glucose / Energy Metabolism and effect of Nitric Oxide. Gene Ontology ( GO ) annotation relate to this gene include iron ion bind and oxygen bind. a important paralog of this gene be CYGB. serve as a reserve supply of oxygen and facilitate the movement of oxygen within muscle.","MB","increased","MB (Myoglobin) is a Protein Coding gene. Diseases associated with MB include Compartment Syndrome and Medullomyoblastoma. Among its related pathways are Glucose / Energy Metabolism and Effects of Nitric Oxide. Gene Ontology (GO) annotations related to this gene include iron ion binding and oxygen binding. An important paralog of this gene is CYGB. Serves as a reserve supply of oxygen and facilitates the movement of oxygen within muscles. "
"MYBPC1 ( Myosin bind Protein C, Slow Type ) be a Protein code gene. disease associate with MYBPC1 include Arthrogryposis, Distal, Type 1B and Lethal Congenital Contracture Syndrome 4. Among its relate pathway be Cardiac conduction and striate Muscle Contraction. Gene Ontology ( GO ) annotation relate to this gene include actin bind and titin bind. a important paralog of this gene be MYBPC3. Thick filament - associate protein locate in the crossbridge region of vertebrate striate muscle a band. In vitro it bind MHC, F - actin and native thin filament, and modify the activity of actin - activate myosin ATPase. It may modulate muscle contraction or may play a much structural role.","MYBPC1","increased","MYBPC1 (Myosin Binding Protein C, Slow Type) is a Protein Coding gene. Diseases associated with MYBPC1 include Arthrogryposis, Distal, Type 1B and Lethal Congenital Contracture Syndrome 4. Among its related pathways are Cardiac conduction and Striated Muscle Contraction. Gene Ontology (GO) annotations related to this gene include actin binding and titin binding. An important paralog of this gene is MYBPC3. Thick filament-associated protein located in the crossbridge region of vertebrate striated muscle a bands. In vitro it binds MHC, F-actin and native thin filaments, and modifies the activity of actin-activated myosin ATPase. It may modulate muscle contraction or may play a more structural role. "
"MYL2 ( Myosin Light Chain 2 ) be a Protein code gene. disease associate with MYL2 include Cardiomyopathy, Familial Hypertrophic, 10 and Hypertrophic Cardiomyopathy. Among its relate pathway be Tight junction and Activation of cAMP - Dependent PKA. Gene Ontology ( GO ) annotation relate to this gene include calcium ion bind and actin monomer bind. a important paralog of this gene be MYL10. Contractile protein that play a role in heart development and function ( By similarity ). follow phosphorylation, play a role in cross - bridge cycle kinetic and cardiac muscle contraction by increase myosin lever arm stiffness and promote myosin head diffusion; as a consequence of the increase in maximum contraction force and calcium sensitivity of contraction force. this event altogether slow down myosin kinetic and prolong duty cycle result in accumulate myosin be cooperatively recruit to actin bind site to sustain thin filament activation as a mean to fine - tune myofilament calcium sensitivity to force ( By similarity ). During cardiogenesis play a early role in cardiac contractility by promote cardiac myofibril assembly ( By similarity ).","MYL2","increased","MYL2 (Myosin Light Chain 2) is a Protein Coding gene. Diseases associated with MYL2 include Cardiomyopathy, Familial Hypertrophic, 10 and Hypertrophic Cardiomyopathy. Among its related pathways are Tight junction and Activation of cAMP-Dependent PKA. Gene Ontology (GO) annotations related to this gene include calcium ion binding and actin monomer binding. An important paralog of this gene is MYL10. Contractile protein that plays a role in heart development and function (By similarity). Following phosphorylation, plays a role in cross-bridge cycling kinetics and cardiac muscle contraction by increasing myosin lever arm stiffness and promoting myosin head diffusion; as a consequence of the increase in maximum contraction force and calcium sensitivity of contraction force. These events altogether slow down myosin kinetics and prolong duty cycle resulting in accumulated myosins being cooperatively recruited to actin binding sites to sustain thin filament activation as a means to fine-tune myofilament calcium sensitivity to force (By similarity). During cardiogenesis plays an early role in cardiac contractility by promoting cardiac myofibril assembly (By similarity). "
"MYLK2 ( Myosin Light Chain Kinase 2 ) be a Protein code gene. disease associate with MYLK2 include Cardiomyopathy, Familial Hypertrophic, 1 and Vaginal Cancer. Among its relate pathway be Oxytocin signal pathway and cGMP - PKG signal pathway. Gene Ontology ( GO ) annotation relate to this gene include transferase activity, transfer phosphorus - contain group and protein tyrosine kinase activity. a important paralog of this gene be MYLK3. implicate in the level of global muscle contraction and cardiac function. phosphorylate a specific serine in the N - terminus of a myosin light chain.","MYLK2","increased","MYLK2 (Myosin Light Chain Kinase 2) is a Protein Coding gene. Diseases associated with MYLK2 include Cardiomyopathy, Familial Hypertrophic, 1 and Vaginal Cancer. Among its related pathways are Oxytocin signaling pathway and cGMP-PKG signaling pathway. Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity. An important paralog of this gene is MYLK3. Implicated in the level of global muscle contraction and cardiac function. Phosphorylates a specific serine in the N-terminus of a myosin light chain."
"PI3 ( Peptidase Inhibitor 3 ) be a Protein code gene. disease associate with PI3 include Erysipelas and Impetigo Herpetiformis. Among its relate pathway be Developmental Biology and Defensins. Gene Ontology ( GO ) annotation relate to this gene include serine - type endopeptidase inhibitor activity and peptidase inhibitor activity. a important paralog of this gene be WFDC5. Neutrophil and pancreatic elastase - specific inhibitor of skin. It may prevent elastase - mediate tissue proteolysis. have be show to inhibit the alpha - 4 - beta - 2 / CHRNA2 - CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11. 1 / KCNH2 / ERG1 and on the transient receptor potential cation channel subfamily V member 1 ( TRPV1 ) ( PubMed: 29483648 ).","PI3","increased","PI3 (Peptidase Inhibitor 3) is a Protein Coding gene. Diseases associated with PI3 include Erysipelas and Impetigo Herpetiformis. Among its related pathways are Developmental Biology and Defensins. Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase inhibitor activity and peptidase inhibitor activity. An important paralog of this gene is WFDC5. Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1) (PubMed:29483648). "
"PLA2G2D ( Phospholipase A2 Group IID ) be a Protein code gene. disease associate with PLA2G2D include Superior Mesenteric Artery Syndrome and Duodenal Obstruction. Among its relate pathway be Oxytocin signal pathway and Activation of cAMP - Dependent PKA. Gene Ontology ( GO ) annotation relate to this gene include calcium ion bind and phospholipase A2 activity. a important paralog of this gene be PLA2G2A. PA2 catalyze the calcium - dependent hydrolysis of the 2 - acyl group in 3 - sn - phosphoglycerides. L - alpha - 1 - palmitoyl - 2 - linoleoyl phosphatidylethanolamine be much efficiently hydrolyze than the other phospholipid examine.","PLA2G2D","increased","PLA2G2D (Phospholipase A2 Group IID) is a Protein Coding gene. Diseases associated with PLA2G2D include Superior Mesenteric Artery Syndrome and Duodenal Obstruction. Among its related pathways are Oxytocin signaling pathway and Activation of cAMP-Dependent PKA. Gene Ontology (GO) annotations related to this gene include calcium ion binding and phospholipase A2 activity. An important paralog of this gene is PLA2G2A. PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. L-alpha-1-palmitoyl-2-linoleoyl phosphatidylethanolamine is more efficiently hydrolyzed than the other phospholipids examined. "
"RETN ( Resistin ) be a Protein code gene. disease associate with RETN include Diabetes Mellitus, Noninsulin - Dependent and acquire generalize Lipodystrophy. Among its relate pathway be Innate Immune System and Common Cytokine Receptor Gamma - Chain Family signal pathway. Gene Ontology ( GO ) annotation relate to this gene include hormone activity. a important paralog of this gene be RETNLB.","RETN","increased","RETN (Resistin) is a Protein Coding gene. Diseases associated with RETN include Diabetes Mellitus, Noninsulin-Dependent and Acquired Generalized Lipodystrophy. Among its related pathways are Innate Immune System and Common Cytokine Receptor Gamma-Chain Family Signaling Pathways. Gene Ontology (GO) annotations related to this gene include hormone activity. An important paralog of this gene is RETNLB."
"STMN2 ( Stathmin 2 ) be a Protein code gene. disease associate with STMN2 include Goldberg - Shprintzen Syndrome and Creutzfeldt - Jakob Disease. Gene Ontology ( GO ) annotation relate to this gene include calcium - dependent protein bind and tubulin bind. a important paralog of this gene be STMN3. Regulator of microtubule stability. When phosphorylate by MAPK8, stabilize microtubule and consequently control neurite length in cortical neuron. In the develop brain, negative regulate the rate of exit from multipolar stage and retard radial migration from the ventricular zone ( By similarity ).","STMN2","increased","STMN2 (Stathmin 2) is a Protein Coding gene. Diseases associated with STMN2 include Goldberg-Shprintzen Syndrome and Creutzfeldt-Jakob Disease. Gene Ontology (GO) annotations related to this gene include calcium-dependent protein binding and tubulin binding. An important paralog of this gene is STMN3. Regulator of microtubule stability. When phosphorylated by MAPK8, stabilizes microtubules and consequently controls neurite length in cortical neurons. In the developing brain, negatively regulates the rate of exit from multipolar stage and retards radial migration from the ventricular zone (By similarity)."
"TNFRSF13B ( TNF Receptor Superfamily Member 13B ) be a Protein code gene. disease associate with TNFRSF13B include Immunodeficiency, Common Variable, 2 and Immunoglobulin A Deficiency 2. Among its relate pathway be TRAF Pathway and Cytokine signal in Immune system. Receptor for TNFSF13 / APRIL and TNFSF13B / TALL1 / BAFF / BLYS that bind both ligand with similar high affinity. mediate calcineurin - dependent activation of NF - AT, as good as activation of NF - kappa - B and AP - 1. involve in the stimulation of B - and T - cell function and the regulation of humoral immunity.","TNFRSF13B","increased","TNFRSF13B (TNF Receptor Superfamily Member 13B) is a Protein Coding gene. Diseases associated with TNFRSF13B include Immunodeficiency, Common Variable, 2 and Immunoglobulin A Deficiency 2. Among its related pathways are TRAF Pathway and Cytokine Signaling in Immune system. Receptor for TNFSF13/APRIL and TNFSF13B/TALL1/BAFF/BLYS that binds both ligands with similar high affinity. Mediates calcineurin-dependent activation of NF-AT, as well as activation of NF-kappa-B and AP-1. Involved in the stimulation of B- and T-cell function and the regulation of humoral immunity. "
