"Gene","Regulation","Disease","DE_ctrl_adv","DE_ctrl_early","DE_early_adv","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"CCL3","decreased","Diabetes Mellitis",1.453,3.385,-1.932,0.5,0.785,1.57,5.32,3.388,6.773,4.698918153,5.560727816,4.048778622,3.421145623,6.375698638,6.654139977,5.053473161,5.926498858,5.756593252,4.955007674,7.433303503,3.406927339,5.565921239,5.376969294,5.87001348,5.100050992,4.246265822,4.933155652,6.10985839,4.847241442,6.371964739,2.637020426,2.654638801,2.69459396,4.781733641,3.945103895,3.612535778,6.189290945,5.835143701,6.268252176,6.191338926,8.857711124,6.7638881,5.372307897,6.737159978,8.73778906
"ITLN1","decreased","Diabetes Mellitis",2.67,-0.567,3.237,1.094,0.557,0.509,3.36,6.597,6.03,2.02678959,2.487612698,6.436501688,6.127032905,3.17860443,3.936397297,2.353524895,3.35397798,4.027248285,3.212672835,2.186361507,3.651569895,0.397763887,4.74997253,0.581817451,2.203314383,6.38683469,3.680782075,0.607275569,4.513837929,4.45878505,5.259809845,5.65949343,10.58445977,5.537832656,6.192786532,6.34809127,5.584042184,11.7712865,4.364101492,5.331806313,5.565921239,7.466368669,3.597108224,4.359322763,6.226890657
"DDX3Y","decreased","Diabetes Mellitis",3.311,-0.3,3.611,1.031,0.663,0.644,6.523,10.134,9.834,11.49368154,11.14245796,11.40881504,11.43366856,11.25943152,11.18636295,2.650776869,0.645282934,0.539065338,11.40600453,11.57350003,1.365201229,0.397763887,0.849531882,1.090079389,11.58340784,3.261214595,11.53671931,0.399363645,0.397763887,11.35760157,11.40513455,11.54199925,11.2504417,3.978226805,11.26728852,11.36094223,11.63901262,11.76039366,3.301384602,11.85737669,3.292087985,11.47682522,11.66206902,11.51644952,12.00171016
"JUNB","decreased","Diabetes Mellitis",1.704,3.012,-1.308,0.766,0.868,1.132,11.194,9.886,12.898,10.81658843,11.33793396,10.41588371,10.741701,11.26428578,11.78677388,11.30785783,11.6559835,11.11453623,11.28567971,12.72715646,10.16891378,11.73060093,10.91264972,11.53693341,11.03993564,10.00608258,11.00665941,12.20334344,11.25784269,10.75374969,9.941052689,9.043537108,10.14532264,9.862324547,10.29350222,10.03052808,12.47114076,11.51071974,13.40457961,13.77677413,13.15570213,12.77846507,12.19450953,12.93910627,13.84707024
"KCNQ2","increased","Diabetes Mellitis",-1.391,0.131,-1.522,0.836,2.743,3.282,2.189,0.667,0.798,1.705805889,1.055657271,0.945074371,1.042362669,1.397102989,0.397763887,5.678335891,0.399363645,2.253845551,2.283226954,3.282401135,0.399363645,1.397102989,2.078368242,5.104620564,1.283524232,1.976491825,3.788994051,6.953746649,0.538265459,2.012436927,1.365201229,0.849531882,0.421760249,0.426559521,0.538265459,0.399363645,0.404162917,0.419360613,0.404162917,1.04900997,1.654634553,0.442557096,1.283524232,1.122646648,0.40256316
"UTY","decreased","Diabetes Mellitis",3.183,-0.355,3.538,1.035,0.69,0.667,7.091,10.629,10.274,11.95511652,11.53919548,11.82796125,11.99818114,12.00189823,11.48804087,2.353524895,2.540986841,0.397763887,11.87538665,12.20334344,1.762438914,2.451590823,1.365201229,0.399363645,12.15115858,3.261214595,12.08618465,2.436186927,1.157068766,11.66086928,11.7697902,12.22669791,11.91306557,4.147195984,11.92760862,11.78878082,12.10352378,12.19310574,3.799929183,12.16167461,4.456702013,12.03553601,12.02634725,11.8462577,11.84170553
"CFHR1","increased","Diabetes Mellitis",-3.903,-1.219,-2.684,1.374,2.196,1.599,7.166,4.482,3.263,6.270311024,6.674993257,5.60820243,6.338748949,8.426464437,9.003624471,5.101109053,7.934925303,9.177859132,7.350489434,6.261884497,5.66398379,8.231222723,6.330827143,7.387432416,8.40042369,5.994315196,7.566016228,7.413853623,5.362322404,9.984478145,4.819557423,4.09245356,5.084436604,5.152296597,4.428714542,3.316068475,4.425502949,4.804177949,3.570243438,0.404162917,3.292087985,2.58224178,2.69459396,4.763946886,2.829306484
"CIDEA","increased","Diabetes Mellitis",-1.159,-2.212,1.053,3.075,2.087,0.679,2.225,3.278,1.066,1.33296826,8.301693924,2.032767645,4.063750197,0.447356368,0.451355762,2.353524895,0.645282934,0.539065338,0.436158066,0.485446671,1.762438914,1.397102989,5.5573194,0.399363645,0.431358794,1.976491825,0.397763887,0.399363645,5.197445352,8.11464901,0.538265459,5.078758139,2.134593951,0.426559521,5.772655594,5.718235883,0.788927876,1.191490883,1.266313173,1.04900997,0.436158066,1.616081744,0.485446671,2.012436927,0.746672846
"CIDEC","increased","Diabetes Mellitis",-2.843,-3.226,0.383,4.836,4.38,0.906,3.684,4.067,0.841,6.196266326,8.2084935,5.997889512,5.41360429,0.397763887,2.158248653,4.676090506,0.399363645,1.369917564,0.538265459,1.365201229,1.365201229,1.397102989,6.99364772,0.581817451,0.671126785,1.976491825,4.121132781,6.600294863,7.489518992,9.442896621,0.538265459,6.100210495,2.69459396,0.426559521,7.220254847,7.419944487,0.404162917,1.191490883,1.266313173,2.158248653,0.436158066,0.442557096,0.485446671,0.434558309,0.746672846
"DUSP1","decreased","Diabetes Mellitis",3.09,3.438,-0.348,0.748,0.774,1.034,10.576,10.228,13.666,10.17494335,10.6469643,10.30156384,9.658895394,10.09353116,11.06986166,11.09021416,10.40965448,10.04654934,10.60723062,13.01273051,10.33000987,11.2151335,10.07039151,10.19468736,10.53432353,10.73385126,10.22606513,10.76763681,10.58898536,10.33034136,10.04627332,9.747046617,10.46670755,10.40021796,10.66408575,10.04544124,13.82252965,13.12461169,14.06160767,14.29841684,14.09490405,13.5472206,12.72650286,13.46086166,13.86009234
"CLC","increased","Diabetes Mellitis",-1.942,0.876,-2.818,0.424,2.276,5.362,3.464,0.646,1.522,2.769487603,2.892380915,0.399363645,0.397763887,3.17860443,6.267078787,6.719081162,7.192661237,7.257830981,2.72867262,1.966855497,0.619439084,1.8756988,5.412558884,4.852808619,4.149542017,0.40256316,5.284455867,2.764771268,1.591368981,4.017255252,0.397763887,0.403363038,1.090079389,0.426559521,0.538265459,1.021751519,0.788927876,2.447212526,1.266313173,1.04900997,1.654634553,0.442557096,0.485446671,2.012436927,3.554440151
"DUSP13","increased","Diabetes Mellitis",-0.229,-0.936,0.707,1.828,1.202,0.658,1.36,2.067,1.131,7.531534727,0.397763887,0.517137944,0.538265459,0.397763887,1.442815717,3.584725954,1.566656218,0.539065338,0.876175611,0.397763887,0.619439084,0.538265459,1.365201229,2.650776869,0.397763887,0.876175611,0.397763887,1.365201229,0.538265459,2.012436927,1.966855497,0.849531882,2.69459396,2.487612698,1.939208231,2.462954459,0.788927876,1.191490883,2.462954459,1.04900997,0.436158066,0.442557096,1.939208231,1.122646648,0.746672846
"CLEC4C","increased","Diabetes Mellitis",-3.171,0.131,-3.302,0.917,3.002,3.273,4.755,1.453,1.584,4.428714542,4.729598477,2.662250748,4.243738635,5.477232986,4.674959418,5.942183178,8.757712845,6.982849207,1.397102989,4.542370466,3.244968183,7.115649869,7.176989067,6.600294863,6.379111209,2.524310649,4.988814885,1.365201229,1.591368981,5.036668488,1.966855497,1.989117181,1.090079389,0.426559521,2.760054933,0.485446671,1.998084263,1.191490883,2.947955558,0.404162917,2.708146745,0.442557096,2.69459396,1.122646648,0.746672846
"DUSP2","decreased","Diabetes Mellitis",1.622,3.069,-1.447,0.636,0.808,1.269,6.819,5.372,8.441,6.695364479,6.218105582,6.15758232,6.862110698,7.166564721,7.210470429,7.297892381,7.880617626,6.8017545,5.581902467,7.348581752,6.225156473,8.048650775,7.01424231,7.289766218,6.966957608,6.086686109,7.951100065,5.827342876,6.124367429,6.453645636,5.338067532,5.279059549,5.604067587,5.393682728,5.561965266,5.05483608,8.026616607,6.955624051,8.768995972,8.690711319,7.246607894,8.347686141,8.631608123,9.812143736,9.493394041
"EGR1","decreased","Diabetes Mellitis",3.654,5.332,-1.678,0.612,0.734,1.2,10.072,8.394,13.726,9.805294733,10.45391038,9.6768887,9.803062427,10.09512958,9.873972515,9.428254033,9.47206387,9.5682159,11.07667764,12.95608787,9.101395772,10.73962567,10.01567876,10.85420571,11.0463214,8.117618137,9.094643565,10.91994995,10.67801817,8.739775195,9.128902758,8.355939888,8.352077047,8.041655457,7.683925024,8.798573102,12.84114083,12.60505887,13.85462971,14.01616057,14.70232099,13.66937897,12.96036377,13.60353563,15.27736572
"PI3","increased","Diabetes Mellitis",-0.132,1.407,-1.539,0.382,1.058,2.767,2.41,0.871,2.278,0.966201886,1.3812812,2.976389622,1.042362669,2.976389622,3.491091337,5.778905114,2.429539626,2.253845551,2.97937865,0.923946856,0.619439084,1.397102989,1.868382253,3.418956474,2.203314383,0.40256316,1.365201229,4.447918473,2.960678077,4.730835927,1.365201229,1.989117181,0.421760249,0.426559521,0.538265459,0.485446671,0.404162917,3.421145623,1.266313173,2.669862696,0.436158066,2.58224178,7.580012825,0.434558309,1.705805889
"PLA2G2D","increased","Diabetes Mellitis",-1.511,1.767,-3.278,0.563,1.374,2.441,5.553,2.275,4.042,5.569897532,5.098992931,4.472279321,6.759605362,6.915085066,5.160938999,5.305720231,6.092767753,5.02616628,4.149542017,4.918971843,4.18413245,8.080878936,6.468817679,6.129017773,7.070096833,3.969236233,8.012156998,1.911560965,6.025026039,5.284905053,2.637020426,1.989117181,2.69459396,4.147195984,0.397763887,1.78696652,3.969236233,3.0005806,7.20116429,2.669862696,4.160128555,3.091121373,4.662966385,2.654638801,4.964653917
"EGR2","decreased","Diabetes Mellitis",1.147,3.061,-1.914,0.612,0.854,1.397,6.734,4.82,7.881,6.605987,7.268596954,5.407554566,6.307783182,7.061527658,6.990591746,7.163665768,6.654139977,6.098843363,7.133392582,7.230476832,5.247727851,7.559201758,7.123708634,8.423018981,7.324964824,5.303686381,7.020811263,7.28276861,7.095132222,5.10162955,5.655211268,4.816857144,4.763946886,4.938253861,4.760050632,3.986626744,6.411467652,6.142641013,8.403428775,7.598694214,9.397048383,7.845894521,7.790069555,6.603190695,10.73617318
"EGR3","decreased","Diabetes Mellitis",2.108,3.315,-1.207,0.602,0.747,1.24,6.231,5.024,8.339,6.304624909,6.674993257,5.655517712,6.237591935,6.654139977,6.371428026,6.349886783,5.955066757,5.827342876,6.211366108,6.312456567,4.67931586,7.057216344,7.157051568,7.138313347,6.728659439,5.201814608,6.493924747,6.314390548,7.281304052,4.240585979,5.535600133,5.078758139,5.03110201,5.015076338,4.760050632,4.724027488,7.495686614,5.97280008,8.819425826,7.675768286,9.019738758,8.160803785,8.844601468,7.770385712,11.2937262
"FAM30A","increased","Diabetes Mellitis",-2.943,0.437,-3.38,0.931,1.463,1.572,9.294,5.914,6.351,9.770018307,8.736856168,6.913985397,10.43566691,9.621445482,8.499498346,9.930914177,10.29698837,9.281667454,7.36197875,9.317181623,8.215750481,10.87143543,10.77724579,11.24471698,9.924370479,5.775384115,10.23222226,8.241578804,10.325722,9.389603056,6.423509742,5.230057565,4.863434937,6.897958396,6.192786532,5.876104227,7.411715547,4.511066048,8.350183296,6.746136764,5.840663217,3.674483507,6.863158643,5.478157402,8.285258313
"RDH8","decreased","Diabetes Mellitis",1.232,-2.066,3.298,1.426,0.746,0.523,3.62,6.918,4.852,5.862684007,0.435358187,4.290122222,6.541266782,2.447212526,0.451355762,7.07398402,2.012436927,1.369917564,7.169778796,8.543033645,4.763946886,0.538265459,1.365201229,3.799929183,6.401147436,2.932638381,0.451355762,0.399363645,7.168583877,2.012436927,5.098992931,5.372307897,4.956616434,7.585899507,8.588389733,9.908060789,5.098992931,5.358534795,5.049927593,6.261884497,4.79264792,2.58224178,3.87914731,7.088858428,3.554440151
"SLA","increased","Renal Disease",-1.034,0.127,-1.161,0.986,1.112,1.128,10.229,9.068,9.195,10.08797433,9.982554921,9.851512318,10.1360711,10.6816823,10.16596297,10.99950198,10.92182172,10.32593116,9.893127986,9.732795121,9.769547451,10.94490891,10.63931553,10.73304944,10.69215673,9.067449979,10.77338071,9.754407749,9.842958718,9.811249826,8.905075864,9.193828461,9.283053956,9.260261802,9.067244829,8.698268959,9.518368196,9.295817738,9.003506831,9.170468727,9.306599884,8.965255293,9.607895585,8.981996481,8.90085003
"SPP1","decreased","Renal Disease",-0.586,0.492,-1.078,0.969,1.037,1.071,16.298,15.22,15.712,16.28682377,16.52903858,15.50597898,15.94524494,15.71455686,16.98702132,15.35971531,15.8259157,17.49445805,17.8971029,16.32461221,15.97642811,16.52903858,16.17491885,17.28196875,15.71455686,15.71455686,15.34886166,18.37069017,16.48581567,14.78513182,15.8259157,15.02651881,15.21683794,15.51983992,14.61163379,15.12170168,15.53601695,15.30175638,14.94177954,15.97642811,15.85746057,15.85746057,16.68072034,15.75425926,15.50597898
"TDRD1","increased","Renal Disease",0.288,-0.272,0.56,1.038,0.96,0.924,6.846,7.406,7.134,7.225974708,6.818523558,7.04938362,7.105645308,5.186177337,8.48470963,6.773499493,6.496295652,6.465220269,6.608272441,7.186528291,7.079103846,7.697962787,6.734404728,6.474944559,6.966957608,7.226516107,6.559420125,6.333748712,6.295194217,7.002730033,6.978780119,7.142388036,8.241839846,7.335755195,7.364522918,7.375507809,6.710314435,9.116345564,6.550865164,6.59403936,6.521272781,7.544178867,6.311870824,7.604989049,7.255503365
"GAPDH","decreased","Renal Disease",-0.136,-0.336,0.2,1.022,1.009,0.987,15.685,15.885,15.549,15.73222605,15.8259157,15.77882835,15.50597898,15.62672651,16.43736443,15.21683794,15.57152274,15.802615,15.57152274,15.40166813,15.35971531,15.85746057,15.49081422,15.49081422,15.49081422,16.19815062,15.60776231,15.51983992,15.802615,16.10230477,15.88453105,15.67065864,15.90900093,15.64885183,16.28682377,15.90900093,15.27736572,15.47535364,15.24279998,15.54868947,15.4288197,15.90900093,15.77882835,15.69088072,15.59151284
"ACTB","decreased","Renal Disease",-0.554,0.037,-0.591,0.998,1.034,1.037,16.675,16.084,16.121,16.58238663,16.76088266,16.19815062,16.61932321,16.98702132,16.61932321,16.98702132,16.76088266,16.98702132,16.68072034,16.84790866,16.17491885,16.68072034,16.84790866,17.49445805,16.98702132,15.94524494,16.76088266,16.84790866,16.35549994,16.04501939,16.19815062,15.88453105,16.04501939,16.01046852,16.22855028,16.13628441,16.07538853,15.802615,16.07538853,15.94524494,15.97642811,16.07538853,16.19815062,16.26304712,16.68072034
"IFI27","increased","Renal Disease",-0.465,-0.087,-0.378,1.009,1.047,1.038,10.377,9.999,9.912,10.02699412,10.42727341,9.937322105,9.626026842,10.13843459,10.6455576,10.36458971,11.72918746,10.70177558,10.37110721,10.04529598,9.919325055,10.4532281,11.5521078,9.838240478,10.25967166,10.10751415,10.4532281,9.539422924,9.862324547,11.91431174,9.547798001,9.062501814,10.38663219,10.48586356,10.59124257,9.918190646,9.962393518,9.768355425,9.431310744,10.46343128,9.812143736,10.08267152,10.21159305,9.67274556,9.801580481
"ACTG1","decreased","Renal Disease",-0.692,0.035,-0.727,0.998,1.046,1.048,15.751,15.024,15.059,15.67065864,15.73222605,15.49081422,15.73222605,15.88453105,16.22855028,15.8259157,16.22855028,16.26304712,15.71455686,15.73222605,15.21683794,15.75425926,15.59151284,16.13628441,15.97642811,14.86786507,15.94524494,16.10230477,15.33194272,15.34886166,15.15432674,14.65385884,14.8840866,15.06858786,15.30175638,15.07948916,14.8840866,14.63986099,14.89969464,14.87647793,14.89184773,14.99760703,15.39118316,15.0446366,15.90900093
"AIRN","increased","Renal Disease",0.771,0.358,0.413,0.954,0.901,0.944,7.012,7.425,7.783,7.508772943,7.285690559,7.191736046,7.395170155,6.629621541,6.474010344,7.246981559,7.124218838,6.96829229,7.301268073,7.447411073,7.214209449,6.581287436,7.023223475,6.921744357,7.16829499,7.016294808,5.74054958,7.340088262,7.250140133,6.433042118,7.495389884,7.669991388,7.532526838,7.359525475,7.134797411,7.359525475,7.691124396,7.535315213,8.115058826,7.928318873,7.580967032,7.626515946,7.381623243,7.782537987,8.404932856
"TPT1","decreased","Renal Disease",-0.513,-0.376,-0.137,1.024,1.033,1.009,16.159,16.022,15.646,16.17491885,15.69088072,15.73222605,15.802615,16.13628441,16.68072034,15.88453105,16.68072034,16.35549994,15.73222605,15.77882835,15.88453105,16.61932321,15.64885183,15.97642811,16.13628441,16.39757671,17.15144268,15.60776231,15.77882835,17.49445805,16.04501939,15.94524494,15.73222605,15.88453105,16.58238663,15.94524494,15.54868947,15.88453105,15.77882835,15.69088072,15.62672651,15.64885183,15.27736572,15.62672651,15.73222605
"ITM2B","decreased","Renal Disease",0.482,0.419,0.063,0.973,0.969,0.996,15.108,15.171,15.59,15.06858786,15.18924956,15.47535364,15.44280356,14.96961898,15.02651881,14.35852818,14.6339298,15.22917004,15.4288197,15.37601713,15.30175638,15.18924956,15.30175638,14.96059074,15.1319202,15.41656377,15.06858786,14.8205025,15.16772343,14.70232099,15.30175638,14.97941216,14.84354324,15.44280356,14.96961898,15.49081422,15.75425926,15.50597898,15.50597898,15.57152274,15.51983992,15.73222605,15.45965053,15.59151284,15.67065864
"ANGPTL3","increased","Renal Disease",1.442,0.274,1.168,0.975,0.867,0.889,9.386,10.554,10.828,9.976637379,9.899689225,11.6559835,10.16794749,8.497772012,9.349964468,6.665097251,7.716192074,9.391556298,9.821698901,9.720324371,10.42133567,8.461920627,9.804852829,8.125697281,9.019062723,11.09444717,9.207134176,7.753045149,9.820964185,10.53647632,9.916135489,11.1246033,10.14374289,11.41919613,10.22792367,10.49281593,10.92740834,11.20119821,11.04862208,11.00787958,11.03096884,10.4065257,10.34799039,10.16305115,11.3142524
"APP","decreased","Renal Disease",-0.049,0.379,-0.428,0.975,1.003,1.029,15.37,14.942,15.321,15.53601695,15.44280356,15.33194272,15.69088072,15.37601713,15.1022361,15.53601695,14.96961898,15.50597898,15.77882835,15.90900093,15.50597898,15.44280356,15.57152274,15.59151284,15.59151284,14.7925135,14.45398529,16.04501939,15.53601695,14.05566731,15.05524628,15.05524628,14.76290442,15.16772343,14.27789183,15.33194272,15.34886166,15.37601713,15.15432674,15.37601713,15.33194272,15.54868947,15.26589204,15.30175638,15.18924956
"ATP2B3","increased","Renal Disease",0.909,-0.816,1.725,1.131,0.854,0.755,5.305,7.03,6.214,6.236174254,6.072792941,4.982576852,5.876104227,5.886401306,3.207494659,6.719081162,4.857742667,6.500646189,6.90446026,6.825217755,6.581287436,2.998649634,3.207494659,6.511005041,6.330827143,6.165950971,3.788994051,5.023887837,4.726127593,2.012436927,7.709602327,7.007772062,6.139559404,6.330827143,6.887148155,8.106708528,5.935359525,7.05867966,5.32095547,6.061869184,6.261884497,6.991111211,6.132876231,6.664854369,5.495287309
"B4GALNT4","increased","Renal Disease",-0.123,0.212,-0.335,0.959,1.024,1.067,5.321,4.986,5.198,3.485040257,5.482045454,4.048778622,4.906455989,5.674391748,6.008628165,7.675064746,6.794115012,5.418447844,4.240585979,4.785947706,5.66398379,4.185781504,5.156985482,6.547871345,5.36273747,3.969236233,5.328140484,6.10985839,4.726127593,6.176063649,4.878196784,5.078758139,4.57293207,4.781733641,4.915226356,5.688047897,4.425502949,5.027123983,5.174519627,5.445216855,4.674959418,4.089789182,6.311870824,5.168126852,6.46922262
"LBP","increased","Renal Disease",0.952,-0.563,1.515,1.07,0.881,0.824,7.071,8.586,8.023,6.583623427,6.320588852,9.050597925,7.395170155,5.835143701,7.683699042,5.346533134,6.514145534,4.248793008,7.133392582,6.716698363,7.705598193,6.599885485,7.07398402,7.63027232,5.943669994,9.342819789,7.885479633,7.655617527,7.489518992,8.330710055,8.140716481,8.295659384,8.937775975,9.10670308,8.03125857,9.003285607,7.351674194,7.970194487,8.37321789,8.333038343,8.289027794,8.972219078,8.201615476,7.939761189,6.772566719
"XIST","increased","Renal Disease",-3.518,0.749,-4.267,0.865,1.634,1.888,9.071,4.804,5.553,3.7716396,0.397763887,0.399363645,1.705805889,0.447356368,5.209824596,15.85746057,15.33194272,15.54868947,5.513473953,5.163380914,15.75425926,15.39118316,15.71455686,15.85746057,5.557962395,14.94177954,5.155943439,15.35971531,15.39118316,2.012436927,0.397763887,0.403363038,2.69459396,15.45965053,5.053473161,4.816857144,0.404162917,2.447212526,15.62672651,6.988901075,15.57152274,6.163733113,1.939208231,0.434558309,0.40256316
"CADM3","increased","Renal Disease",-2.829,-0.495,-2.334,1.096,1.549,1.413,7.983,5.649,5.154,7.903440805,8.817291809,6.270311024,7.164875763,9.24491335,8.905194608,8.878577802,9.291102113,8.568138736,6.744924022,7.479380265,7.013702751,9.096653286,9.363717167,9.025714399,8.2941985,5.799407998,7.790475191,7.246352302,8.138250858,6.604499555,5.496524758,5.54545424,6.094244821,5.814964462,4.915226356,6.029562724,5.226195633,4.891827687,5.840430671,5.613230912,4.57293207,5.08884217,5.117636063,4.542370466,5.495287309
"CD24","decreased","Renal Disease",-0.528,0.223,-0.751,0.984,1.038,1.056,14.248,13.497,13.72,14.35852818,14.0679425,13.47741125,14.08024925,14.10909216,14.4591425,14.50928189,14.31774916,14.89969464,14.43576978,14.68876777,13.67397878,14.4803615,13.85462971,14.66808686,14.57171651,13.4557263,14.06160767,15.12170168,14.16464804,13.7560096,13.6357263,13.53535943,12.68205976,13.58740116,13.47454276,14.0665001,13.86685117,13.60863935,13.24438463,13.71879938,13.7746877,13.90021693,14.00419795,13.56430562,13.8007284
"CD3D","increased","Renal Disease",-2.684,-0.084,-2.6,1.017,1.548,1.521,7.586,4.986,4.902,7.425629035,6.832416993,5.776340664,7.303605752,8.435097317,7.990087128,8.69830919,9.124748418,7.698311997,6.785916586,7.370748861,6.225156473,8.851692724,7.637394493,8.48231849,8.284735058,5.201814608,9.194623398,7.106119391,6.807218229,8.070445821,5.217230336,4.495764638,4.956616434,5.152296597,5.946140458,4.149542017,5.156985482,5.027123983,5.252044629,4.346836863,4.891827687,4.089789182,5.056198999,4.659530302,5.638493159
"LOC389332","increased","Renal Disease",0.731,-0.072,0.803,1.006,0.939,0.933,11.27,12.073,12.001,11.37086583,11.22028109,11.52138311,11.70735099,11.06084665,11.89490262,9.433168397,11.20819841,11.16108379,11.98772002,11.34493888,11.90326368,11.01659441,11.06891587,10.60823613,9.962125619,12.62531989,11.17447398,10.89094243,11.72522958,11.79120424,12.14343442,11.85383472,12.12579447,12.15982348,12.07625853,12.08032817,11.42723856,11.74712405,11.77514807,12.23376877,12.17146638,12.07438395,12.17571675,12.43323535,11.97296259
"CEBPD","increased","Renal Disease",0.277,0.784,-0.507,0.934,0.977,1.045,11.651,11.144,11.928,11.36406454,11.78820634,11.23044322,11.20273716,11.73271849,12.609402,11.73717537,12.38843793,11.79412375,11.65357571,11.07496146,11.01805139,12.17648531,11.39493646,11.67320675,11.0455421,11.32390011,11.6160971,12.39735134,11.88202198,11.56050187,11.26776682,10.49905362,11.15572901,11.03079205,11.62818573,11.28323001,10.94129155,10.71331939,12.15240277,12.914249,11.68865435,11.74111607,12.81351234,11.45834094,12.92892286
"CFH","increased","Renal Disease",-0.982,0.197,-1.179,0.982,1.092,1.112,11.675,10.496,10.693,11.6694853,11.69548992,11.65093971,11.91828036,12.12943425,11.31281631,10.88309334,11.84151146,11.90482098,11.55418031,11.3719482,11.3411254,12.06890438,12.43177337,12.38385589,12.40536641,10.29852928,12.10204965,11.39150509,11.35552736,11.4716666,10.57550246,10.60781539,10.30737695,10.81819577,10.25829692,10.40884697,11.02919084,10.54283553,10.88816044,10.29605613,10.7751522,10.42301428,10.62739362,10.75971302,10.89876515
"PKM","decreased","Renal Disease",-0.447,-0.109,-0.338,1.008,1.032,1.024,14.454,14.116,14.007,14.59574473,14.61782391,14.09218163,14.29326146,14.54378978,14.48389964,14.99760703,14.12915619,14.73640451,14.69522589,14.75630371,14.07414653,14.58301316,14.33092134,15.1022361,14.42468485,13.9629618,13.95583324,15.34886166,14.33964839,13.46932878,14.13292767,14.03645001,13.9629618,13.97316855,14.15120245,14.44031147,13.98463557,13.87164669,13.68700576,14.06505771,13.96794811,14.22574761,14.21488428,14.10909216,13.93708403
"CXCR3","increased","Renal Disease",-1.854,-0.524,-1.33,1.089,1.315,1.208,7.732,6.402,5.878,7.463375853,7.7799215,6.894170244,8.04633093,8.387250716,7.381754924,8.358308244,8.732978351,7.896313785,7.382723758,7.760468146,7.350643372,8.405158884,8.660129698,8.487974931,8.244315022,6.119404537,8.146194521,7.413853623,7.385059292,6.065662001,7.09200202,5.464766919,6.387539847,6.805971291,6.449279501,6.214903008,6.13509341,5.870647591,6.063974857,5.577430065,5.512423428,5.618548137,6.23860966,5.3632127,6.52152308
"EEF1A1","decreased","Renal Disease",-0.697,-0.275,-0.422,1.016,1.041,1.024,17.869,17.447,17.172,17.8971029,17.69626797,17.28196875,17.49445805,17.69626797,18.37069017,17.49445805,18.78094545,18.37069017,17.69626797,17.8971029,17.49445805,18.10830738,17.15144268,18.78094545,17.8971029,17.8971029,18.37069017,17.8971029,17.28196875,17.69626797,17.49445805,17.49445805,17.28196875,17.15144268,18.10830738,17.15144268,17.28196875,17.28196875,17.28196875,17.28196875,17.28196875,16.84790866,17.15144268,16.98702132,17.15144268
"ENO1","decreased","Renal Disease",-0.33,-0.254,-0.076,1.017,1.022,1.005,15.15,15.074,14.82,15.25682391,15.27736572,14.97941216,15.1319202,15.14027346,15.53601695,15.03537442,14.89969464,15.39118316,15.24279998,15.26589204,14.93371402,15.27736572,14.96961898,15.22917004,15.11479227,15.09186966,15.00803398,15.67065864,15.0446366,14.65385884,15.0446366,14.92397961,15.0446366,14.99760703,15.1319202,15.30175638,14.80880684,14.90757693,14.57819522,14.71539838,14.71539838,15.03537442,14.93371402,14.7925135,14.89184773
"PRR7","increased","Renal Disease",-0.658,0.101,-0.759,0.984,1.101,1.118,7.174,6.415,6.516,6.79496561,7.71841376,6.636223507,6.959823875,7.189002208,7.916726448,7.847644195,7.903440805,7.205003624,7.226183555,7.069580682,6.225156473,7.057216344,7.01424231,7.20116429,6.274879409,7.043831973,6.559420125,8.1092501,7.306696132,7.388274954,6.584094752,5.54545424,6.094244821,6.604976109,6.775978857,6.88342379,5.817935972,6.109297889,6.025026039,6.661804291,6.15014894,6.611830043,7.121642879,6.895120524,7.255503365
"RARRES1","increased","Renal Disease",-1.843,-0.241,-1.602,1.031,1.239,1.201,9.568,7.966,7.725,9.586104,9.588633002,8.587091717,8.773065859,9.729709996,10.70002255,9.03958212,10.02847681,10.44830338,9.446954031,9.41732759,8.186956206,9.655340113,10.39896203,11.26464097,9.640454137,7.914786299,9.913972215,10.45090886,8.698268959,9.452589241,7.854475193,7.973506253,7.728561406,7.787386583,8.301292041,8.151891303,7.495686614,7.339211837,7.417796697,7.551352834,7.774058914,7.335015916,8.532072416,7.770385712,8.31087285
"FMO1","increased","Renal Disease",0.911,0.164,0.747,0.988,0.933,0.945,12.772,13.519,13.683,12.59059019,12.86437258,13.60863935,13.4462804,12.08800192,12.98982387,11.07790592,11.96201326,13.01877897,12.86946013,12.61119239,13.83375695,13.15683622,12.95946259,12.42908173,12.19094333,14.11528903,12.9308392,11.39150509,13.23450831,12.8500728,13.74454261,13.72471579,13.64433961,13.74549579,13.23811844,13.01967851,13.59650873,14.11656211,13.86302275,13.93152251,13.95147456,13.69068815,13.22545452,13.16526413,13.60259846
